trip_id,stop_id
6512499-CT-17OCT-Caltrain-Sunday-01,70031
6512499-CT-17OCT-Caltrain-Sunday-01,70021
6512499-CT-17OCT-Caltrain-Sunday-01,70011
6512500-CT-17OCT-Caltrain-Sunday-01,70261
6512500-CT-17OCT-Caltrain-Sunday-01,70241
6512500-CT-17OCT-Caltrain-Sunday-01,70231
6512500-CT-17OCT-Caltrain-Sunday-01,70221
6512500-CT-17OCT-Caltrain-Sunday-01,70211
6512500-CT-17OCT-Caltrain-Sunday-01,70201
6512500-CT-17OCT-Caltrain-Sunday-01,70191
6512500-CT-17OCT-Caltrain-Sunday-01,70171
6512500-CT-17OCT-Caltrain-Sunday-01,70161
6512500-CT-17OCT-Caltrain-Sunday-01,70151
6512500-CT-17OCT-Caltrain-Sunday-01,70141
6512500-CT-17OCT-Caltrain-Sunday-01,70131
6512500-CT-17OCT-Caltrain-Sunday-01,70121
6512500-CT-17OCT-Caltrain-Sunday-01,70111
6512500-CT-17OCT-Caltrain-Sunday-01,70101
6512500-CT-17OCT-Caltrain-Sunday-01,70091
6512500-CT-17OCT-Caltrain-Sunday-01,70081
6512500-CT-17OCT-Caltrain-Sunday-01,70071
6512500-CT-17OCT-Caltrain-Sunday-01,70061
6512500-CT-17OCT-Caltrain-Sunday-01,70051
6512500-CT-17OCT-Caltrain-Sunday-01,70041
6512500-CT-17OCT-Caltrain-Sunday-01,70031
6512500-CT-17OCT-Caltrain-Sunday-01,70021
6512500-CT-17OCT-Caltrain-Sunday-01,70011
6512501-CT-17OCT-Caltrain-Sunday-01,70261
6512501-CT-17OCT-Caltrain-Sunday-01,70241
6512501-CT-17OCT-Caltrain-Sunday-01,70231
6512501-CT-17OCT-Caltrain-Sunday-01,70221
6512501-CT-17OCT-Caltrain-Sunday-01,70211
6512501-CT-17OCT-Caltrain-Sunday-01,70201
6512501-CT-17OCT-Caltrain-Sunday-01,70191
6512501-CT-17OCT-Caltrain-Sunday-01,70171
6512501-CT-17OCT-Caltrain-Sunday-01,70161
6512501-CT-17OCT-Caltrain-Sunday-01,70151
6512501-CT-17OCT-Caltrain-Sunday-01,70141
6512501-CT-17OCT-Caltrain-Sunday-01,70131
6512501-CT-17OCT-Caltrain-Sunday-01,70121
6512501-CT-17OCT-Caltrain-Sunday-01,70111
6512501-CT-17OCT-Caltrain-Sunday-01,70101
6512501-CT-17OCT-Caltrain-Sunday-01,70091
6512501-CT-17OCT-Caltrain-Sunday-01,70081
6512501-CT-17OCT-Caltrain-Sunday-01,70071
6512501-CT-17OCT-Caltrain-Sunday-01,70061
6512501-CT-17OCT-Caltrain-Sunday-01,70051
6512501-CT-17OCT-Caltrain-Sunday-01,70041
6512501-CT-17OCT-Caltrain-Sunday-01,70031
6512501-CT-17OCT-Caltrain-Sunday-01,70021
6512501-CT-17OCT-Caltrain-Sunday-01,70011
6512502-CT-17OCT-Caltrain-Sunday-01,70261
6512502-CT-17OCT-Caltrain-Sunday-01,70221
6512502-CT-17OCT-Caltrain-Sunday-01,70211
6512502-CT-17OCT-Caltrain-Sunday-01,70171
6512502-CT-17OCT-Caltrain-Sunday-01,70141
6512502-CT-17OCT-Caltrain-Sunday-01,70111
6512502-CT-17OCT-Caltrain-Sunday-01,70091
6512502-CT-17OCT-Caltrain-Sunday-01,70061
6512502-CT-17OCT-Caltrain-Sunday-01,70011
6512503-CT-17OCT-Caltrain-Sunday-01,70261
6512503-CT-17OCT-Caltrain-Sunday-01,70221
6512503-CT-17OCT-Caltrain-Sunday-01,70211
6512503-CT-17OCT-Caltrain-Sunday-01,70171
6512503-CT-17OCT-Caltrain-Sunday-01,70141
6512503-CT-17OCT-Caltrain-Sunday-01,70111
6512503-CT-17OCT-Caltrain-Sunday-01,70091
6512503-CT-17OCT-Caltrain-Sunday-01,70061
6512503-CT-17OCT-Caltrain-Sunday-01,70011
6512504-CT-17OCT-Caltrain-Sunday-01,70012
6512504-CT-17OCT-Caltrain-Sunday-01,70022
6512504-CT-17OCT-Caltrain-Sunday-01,70032
6512504-CT-17OCT-Caltrain-Sunday-01,70042
6512504-CT-17OCT-Caltrain-Sunday-01,70052
6512504-CT-17OCT-Caltrain-Sunday-01,70062
6512504-CT-17OCT-Caltrain-Sunday-01,70072
6512504-CT-17OCT-Caltrain-Sunday-01,70082
6512504-CT-17OCT-Caltrain-Sunday-01,70092
6512504-CT-17OCT-Caltrain-Sunday-01,70102
6512504-CT-17OCT-Caltrain-Sunday-01,70112
6512504-CT-17OCT-Caltrain-Sunday-01,70122
6512504-CT-17OCT-Caltrain-Sunday-01,70132
6512504-CT-17OCT-Caltrain-Sunday-01,70142
6512504-CT-17OCT-Caltrain-Sunday-01,70152
6512504-CT-17OCT-Caltrain-Sunday-01,70162
6512504-CT-17OCT-Caltrain-Sunday-01,70172
6512504-CT-17OCT-Caltrain-Sunday-01,70192
6512504-CT-17OCT-Caltrain-Sunday-01,70202
6512504-CT-17OCT-Caltrain-Sunday-01,70212
6512504-CT-17OCT-Caltrain-Sunday-01,70222
6512504-CT-17OCT-Caltrain-Sunday-01,70232
6512504-CT-17OCT-Caltrain-Sunday-01,70242
6512504-CT-17OCT-Caltrain-Sunday-01,70262
6512505-CT-17OCT-Caltrain-Sunday-01,70012
6512505-CT-17OCT-Caltrain-Sunday-01,70022
6512505-CT-17OCT-Caltrain-Sunday-01,70032
6512505-CT-17OCT-Caltrain-Sunday-01,70042
6512505-CT-17OCT-Caltrain-Sunday-01,70052
6512505-CT-17OCT-Caltrain-Sunday-01,70062
6512505-CT-17OCT-Caltrain-Sunday-01,70072
6512505-CT-17OCT-Caltrain-Sunday-01,70082
6512505-CT-17OCT-Caltrain-Sunday-01,70092
6512505-CT-17OCT-Caltrain-Sunday-01,70102
6512505-CT-17OCT-Caltrain-Sunday-01,70112
6512505-CT-17OCT-Caltrain-Sunday-01,70122
6512505-CT-17OCT-Caltrain-Sunday-01,70132
6512505-CT-17OCT-Caltrain-Sunday-01,70142
6512505-CT-17OCT-Caltrain-Sunday-01,70152
6512505-CT-17OCT-Caltrain-Sunday-01,70162
6512505-CT-17OCT-Caltrain-Sunday-01,70172
6512505-CT-17OCT-Caltrain-Sunday-01,70192
6512505-CT-17OCT-Caltrain-Sunday-01,70202
6512505-CT-17OCT-Caltrain-Sunday-01,70212
6512505-CT-17OCT-Caltrain-Sunday-01,70222
6512505-CT-17OCT-Caltrain-Sunday-01,70232
6512505-CT-17OCT-Caltrain-Sunday-01,70242
6512505-CT-17OCT-Caltrain-Sunday-01,70262
6512506-CT-17OCT-Caltrain-Sunday-01,70012
6512506-CT-17OCT-Caltrain-Sunday-01,70022
6512506-CT-17OCT-Caltrain-Sunday-01,70032
6512506-CT-17OCT-Caltrain-Sunday-01,70042
6512506-CT-17OCT-Caltrain-Sunday-01,70052
6512506-CT-17OCT-Caltrain-Sunday-01,70062
6512506-CT-17OCT-Caltrain-Sunday-01,70072
6512506-CT-17OCT-Caltrain-Sunday-01,70082
6512506-CT-17OCT-Caltrain-Sunday-01,70092
6512506-CT-17OCT-Caltrain-Sunday-01,70102
6512506-CT-17OCT-Caltrain-Sunday-01,70112
6512506-CT-17OCT-Caltrain-Sunday-01,70122
6512506-CT-17OCT-Caltrain-Sunday-01,70132
6512506-CT-17OCT-Caltrain-Sunday-01,70142
6512506-CT-17OCT-Caltrain-Sunday-01,70152
6512506-CT-17OCT-Caltrain-Sunday-01,70162
6512506-CT-17OCT-Caltrain-Sunday-01,70172
6512506-CT-17OCT-Caltrain-Sunday-01,70192
6512506-CT-17OCT-Caltrain-Sunday-01,70202
6512506-CT-17OCT-Caltrain-Sunday-01,70212
6512506-CT-17OCT-Caltrain-Sunday-01,70222
6512506-CT-17OCT-Caltrain-Sunday-01,70232
6512506-CT-17OCT-Caltrain-Sunday-01,70242
6512506-CT-17OCT-Caltrain-Sunday-01,70262
6512507-CT-17OCT-Caltrain-Sunday-01,70012
6512507-CT-17OCT-Caltrain-Sunday-01,70022
6512507-CT-17OCT-Caltrain-Sunday-01,70032
6512507-CT-17OCT-Caltrain-Sunday-01,70042
6512507-CT-17OCT-Caltrain-Sunday-01,70052
6512507-CT-17OCT-Caltrain-Sunday-01,70062
6512507-CT-17OCT-Caltrain-Sunday-01,70072
6512507-CT-17OCT-Caltrain-Sunday-01,70082
6512507-CT-17OCT-Caltrain-Sunday-01,70092
6512507-CT-17OCT-Caltrain-Sunday-01,70102
6512507-CT-17OCT-Caltrain-Sunday-01,70112
6512507-CT-17OCT-Caltrain-Sunday-01,70122
6512507-CT-17OCT-Caltrain-Sunday-01,70132
6512507-CT-17OCT-Caltrain-Sunday-01,70142
6512507-CT-17OCT-Caltrain-Sunday-01,70152
6512507-CT-17OCT-Caltrain-Sunday-01,70162
6512507-CT-17OCT-Caltrain-Sunday-01,70172
6512507-CT-17OCT-Caltrain-Sunday-01,70192
6512507-CT-17OCT-Caltrain-Sunday-01,70202
6512507-CT-17OCT-Caltrain-Sunday-01,70212
6512507-CT-17OCT-Caltrain-Sunday-01,70222
6512507-CT-17OCT-Caltrain-Sunday-01,70232
6512507-CT-17OCT-Caltrain-Sunday-01,70242
6512507-CT-17OCT-Caltrain-Sunday-01,70262
6512508-CT-17OCT-Caltrain-Sunday-01,70012
6512508-CT-17OCT-Caltrain-Sunday-01,70022
6512508-CT-17OCT-Caltrain-Sunday-01,70032
6512508-CT-17OCT-Caltrain-Sunday-01,70042
6512508-CT-17OCT-Caltrain-Sunday-01,70052
6512508-CT-17OCT-Caltrain-Sunday-01,70062
6512508-CT-17OCT-Caltrain-Sunday-01,70072
6512508-CT-17OCT-Caltrain-Sunday-01,70082
6512508-CT-17OCT-Caltrain-Sunday-01,70092
6512508-CT-17OCT-Caltrain-Sunday-01,70102
6512508-CT-17OCT-Caltrain-Sunday-01,70112
6512508-CT-17OCT-Caltrain-Sunday-01,70122
6512508-CT-17OCT-Caltrain-Sunday-01,70132
6512508-CT-17OCT-Caltrain-Sunday-01,70142
6512508-CT-17OCT-Caltrain-Sunday-01,70152
6512508-CT-17OCT-Caltrain-Sunday-01,70162
6512508-CT-17OCT-Caltrain-Sunday-01,70172
6512508-CT-17OCT-Caltrain-Sunday-01,70192
6512508-CT-17OCT-Caltrain-Sunday-01,70202
6512508-CT-17OCT-Caltrain-Sunday-01,70212
6512508-CT-17OCT-Caltrain-Sunday-01,70222
6512508-CT-17OCT-Caltrain-Sunday-01,70232
6512508-CT-17OCT-Caltrain-Sunday-01,70242
6512508-CT-17OCT-Caltrain-Sunday-01,70262
6512509-CT-17OCT-Caltrain-Sunday-01,70012
6512509-CT-17OCT-Caltrain-Sunday-01,70022
6512509-CT-17OCT-Caltrain-Sunday-01,70032
6512509-CT-17OCT-Caltrain-Sunday-01,70042
6512509-CT-17OCT-Caltrain-Sunday-01,70052
6512509-CT-17OCT-Caltrain-Sunday-01,70062
6512509-CT-17OCT-Caltrain-Sunday-01,70072
6512509-CT-17OCT-Caltrain-Sunday-01,70082
6512509-CT-17OCT-Caltrain-Sunday-01,70092
6512509-CT-17OCT-Caltrain-Sunday-01,70102
6512509-CT-17OCT-Caltrain-Sunday-01,70112
6512509-CT-17OCT-Caltrain-Sunday-01,70122
6512509-CT-17OCT-Caltrain-Sunday-01,70132
6512509-CT-17OCT-Caltrain-Sunday-01,70142
6512509-CT-17OCT-Caltrain-Sunday-01,70152
6512509-CT-17OCT-Caltrain-Sunday-01,70162
